SNR_dB,rho,PEP_near,PEP_far,T_near,T_far,T_sum,P_B,P_C,EE
5.0,0.3168341709,0.3377871082,0.3415140515,0.3311064459,0.1646214871,0.4957279330,3.1622776602,0.2000000000,0.1474381307
5.0,0.3213567839,0.3376139242,0.3413346926,0.3311930379,0.1646663268,0.4958593648,3.1622776602,0.2000000000,0.1474772208
5.0,0.3258793970,0.3374574070,0.3411716722,0.3312712965,0.1647070819,0.4959783785,3.1622776602,0.2000000000,0.1475126175
5.0,0.3304020101,0.3373172773,0.3410247189,0.3313413614,0.1647438203,0.4960851816,3.1622776602,0.2000000000,0.1475443826
5.0,0.3349246231,0.3371932680,0.3408935732,0.3314033660,0.1647766067,0.4961799727,3.1622776602,0.2000000000,0.1475725752
5.0,0.3394472362,0.3370851235,0.3407779866,0.3314574383,0.1648055033,0.4962629416,3.1622776602,0.2000000000,0.1475972516
5.0,0.3439698492,0.3369925993,0.3406777218,0.3315037003,0.1648305695,0.4963342699,3.1622776602,0.2000000000,0.1476184658
5.0,0.3484924623,0.3369154618,0.3405925516,0.3315422691,0.1648518621,0.4963941312,3.1622776602,0.2000000000,0.1476362696
5.0,0.3530150754,0.3368534872,0.3405222586,0.3315732564,0.1648694353,0.4964426918,3.1622776602,0.2000000000,0.1476507124
5.0,0.3575376884,0.3368064617,0.3404666353,0.3315967691,0.1648833412,0.4964801103,3.1622776602,0.2000000000,0.1476618413
5.0,0.3620603015,0.3367741811,0.3404254829,0.3316129094,0.1648936293,0.4965065387,3.1622776602,0.2000000000,0.1476697016
5.0,0.3665829146,0.3367564500,0.3403986119,0.3316217750,0.1649003470,0.4965221221,3.1622776602,0.2000000000,0.1476743363
5.0,0.3711055276,0.3367530816,0.3403858408,0.3316234592,0.1649035398,0.4965269990,3.1622776602,0.2000000000,0.1476757868
5.0,0.3756281407,0.3367638979,0.3403869965,0.3316180511,0.1649032509,0.4965213019,3.1622776602,0.2000000000,0.1476740924
5.0,0.3801507538,0.3367887286,0.3404019138,0.3316056357,0.1648995216,0.4965051572,3.1622776602,0.2000000000,0.1476692907
5.0,0.3846733668,0.3368274114,0.3404304350,0.3315862943,0.1648923913,0.4964786856,3.1622776602,0.2000000000,0.1476614176
5.0,0.3891959799,0.3368797915,0.3404724096,0.3315601043,0.1648818976,0.4964420019,3.1622776602,0.2000000000,0.1476505072
5.0,0.3937185930,0.3369457212,0.3405276946,0.3315271394,0.1648680764,0.4963952157,3.1622776602,0.2000000000,0.1476365922
5.0,0.3982412060,0.3370250602,0.3405961534,0.3314874699,0.1648509617,0.4963384316,3.1622776602,0.2000000000,0.1476197036
5.0,0.4027638191,0.3371176746,0.3406776562,0.3314411627,0.1648305859,0.4962717487,3.1622776602,0.2000000000,0.1475998709
5.0,0.4072864322,0.3372234374,0.3407720798,0.3313882813,0.1648069800,0.4961952613,3.1622776602,0.2000000000,0.1475771223
5.0,0.4118090452,0.3373422279,0.3408793070,0.3313288860,0.1647801732,0.4961090593,3.1622776602,0.2000000000,0.1475514843
5.0,0.4163316583,0.3374739316,0.3409992268,0.3312630342,0.1647501933,0.4960132275,3.1622776602,0.2000000000,0.1475229822
5.0,0.4208542714,0.3376184401,0.3411317340,0.3311907799,0.1647170665,0.4959078464,3.1622776602,0.2000000000,0.1474916401
5.0,0.4253768844,0.3377756508,0.3412767291,0.3311121746,0.1646808177,0.4957929923,3.1622776602,0.2000000000,0.1474574804
5.0,0.4298994975,0.3379454669,0.3414341184,0.3310272666,0.1646414704,0.4956687369,3.1622776602,0.2000000000,0.1474205247
5.0,0.4344221106,0.3381277970,0.3416038135,0.3309361015,0.1645990466,0.4955351481,3.1622776602,0.2000000000,0.1473807931
5.0,0.4389447236,0.3383225554,0.3417857311,0.3308387223,0.1645535672,0.4953922895,3.1622776602,0.2000000000,0.1473383044
5.0,0.4434673367,0.3385296615,0.3419797935,0.3307351692,0.1645050516,0.4952402209,3.1622776602,0.2000000000,0.1472930766
5.0,0.4479899497,0.3387490400,0.3421859277,0.3306254800,0.1644535181,0.4950789981,3.1622776602,0.2000000000,0.1472451261
5.0,0.4525125628,0.3389806205,0.3424040658,0.3305096897,0.1643989836,0.4949086733,3.1622776602,0.2000000000,0.1471944685
5.0,0.4570351759,0.3392243379,0.3426341447,0.3303878311,0.1643414638,0.4947292949,3.1622776602,0.2000000000,0.1471411183
5.0,0.4615577889,0.3394801316,0.3428761063,0.3302599342,0.1642809734,0.4945409076,3.1622776602,0.2000000000,0.1470850886
5.0,0.4660804020,0.3397479460,0.3431298969,0.3301260270,0.1642175258,0.4943435528,3.1622776602,0.2000000000,0.1470263918
5.0,0.4706030151,0.3400277303,0.3433954674,0.3299861349,0.1641511331,0.4941372680,3.1622776602,0.2000000000,0.1469650392
5.0,0.4751256281,0.3403194380,0.3436727734,0.3298402810,0.1640818066,0.4939220876,3.1622776602,0.2000000000,0.1469010408
5.0,0.4796482412,0.3406230274,0.3439617749,0.3296884863,0.1640095563,0.4936980426,3.1622776602,0.2000000000,0.1468344059
5.0,0.4841708543,0.3409384613,0.3442624362,0.3295307693,0.1639343910,0.4934651603,3.1622776602,0.2000000000,0.1467651426
5.0,0.4886934673,0.3412657068,0.3445747260,0.3293671466,0.1638563185,0.4932234651,3.1622776602,0.2000000000,0.1466932583
5.0,0.4932160804,0.3416047354,0.3448986172,0.3291976323,0.1637753457,0.4929729780,3.1622776602,0.2000000000,0.1466187590
5.0,0.4977386935,0.3419555230,0.3452340872,0.3290222385,0.1636914782,0.4927137167,3.1622776602,0.2000000000,0.1465416502
5.0,0.5022613065,0.3423180498,0.3455811174,0.3288409751,0.1636047207,0.4924456958,3.1622776602,0.2000000000,0.1464619361
5.0,0.5067839196,0.3426923002,0.3459396932,0.3286538499,0.1635150767,0.4921689266,3.1622776602,0.2000000000,0.1463796201
5.0,0.5113065327,0.3430782628,0.3463098046,0.3284608686,0.1634225488,0.4918834174,3.1622776602,0.2000000000,0.1462947047
5.0,0.5158291457,0.3434759305,0.3466914454,0.3282620347,0.1633271387,0.4915891734,3.1622776602,0.2000000000,0.1462071914
5.0,0.5203517588,0.3438853003,0.3470846134,0.3280573498,0.1632288466,0.4912861965,3.1622776602,0.2000000000,0.1461170808
5.0,0.5248743719,0.3443063735,0.3474893109,0.3278468133,0.1631276723,0.4909744855,3.1622776602,0.2000000000,0.1460243725
5.0,0.5293969849,0.3447391553,0.3479055438,0.3276304224,0.1630236140,0.4906540364,3.1622776602,0.2000000000,0.1459290654
5.0,0.5339195980,0.3451836552,0.3483333225,0.3274081724,0.1629166694,0.4903248418,3.1622776602,0.2000000000,0.1458311571
5.0,0.5384422111,0.3456398870,0.3487726612,0.3271800565,0.1628068347,0.4899868912,3.1622776602,0.2000000000,0.1457306447
5.0,0.5429648241,0.3461078684,0.3492235782,0.3269460658,0.1626941054,0.4896401712,3.1622776602,0.2000000000,0.1456275242
5.0,0.5474874372,0.3465876215,0.3496860961,0.3267061892,0.1625784760,0.4892846652,3.1622776602,0.2000000000,0.1455217905
5.0,0.5520100503,0.3470791724,0.3501602415,0.3264604138,0.1624599396,0.4889203534,3.1622776602,0.2000000000,0.1454134378
5.0,0.5565326633,0.3475825516,0.3506460450,0.3262087242,0.1623384887,0.4885472130,3.1622776602,0.2000000000,0.1453024593
5.0,0.5610552764,0.3480977936,0.3511435416,0.3259511032,0.1622141146,0.4881652178,3.1622776602,0.2000000000,0.1451888473
5.0,0.5655778894,0.3486249374,0.3516527703,0.3256875313,0.1620868074,0.4877743387,3.1622776602,0.2000000000,0.1450725931
5.0,0.5701005025,0.3491640261,0.3521737745,0.3254179869,0.1619565564,0.4873745433,3.1622776602,0.2000000000,0.1449536869
5.0,0.5746231156,0.3497151074,0.3527066017,0.3251424463,0.1618233496,0.4869657959,3.1622776602,0.2000000000,0.1448321183
5.0,0.5791457286,0.3502782332,0.3532513040,0.3248608834,0.1616871740,0.4865480574,3.1622776602,0.2000000000,0.1447078756
5.0,0.5836683417,0.3508534599,0.3538079376,0.3245732700,0.1615480156,0.4861212856,3.1622776602,0.2000000000,0.1445809462
5.0,0.5881909548,0.3514408485,0.3543765633,0.3242795758,0.1614058592,0.4856854349,3.1622776602,0.2000000000,0.1444513166
5.0,0.5927135678,0.3520404645,0.3549572464,0.3239797678,0.1612606884,0.4852404562,3.1622776602,0.2000000000,0.1443189722
5.0,0.5972361809,0.3526523781,0.3555500567,0.3236738110,0.1611124858,0.4847862968,3.1622776602,0.2000000000,0.1441838973
5.0,0.6017587940,0.3532766641,0.3561550689,0.3233616679,0.1609612328,0.4843229007,3.1622776602,0.2000000000,0.1440460752
5.0,0.6062814070,0.3539134025,0.3567723621,0.3230432988,0.1608069095,0.4838502082,3.1622776602,0.2000000000,0.1439054882
5.0,0.6108040201,0.3545626778,0.3574020205,0.3227186611,0.1606494949,0.4833681560,3.1622776602,0.2000000000,0.1437621175
5.0,0.6153266332,0.3552245797,0.3580441333,0.3223877101,0.1604889667,0.4828766768,3.1622776602,0.2000000000,0.1436159430
5.0,0.6198492462,0.3558992031,0.3586987945,0.3220503984,0.1603253014,0.4823756998,3.1622776602,0.2000000000,0.1434669437
5.0,0.6243718593,0.3565866481,0.3593661034,0.3217066759,0.1601584741,0.4818651501,3.1622776602,0.2000000000,0.1433150973
5.0,0.6288944724,0.3572870201,0.3600461648,0.3213564899,0.1599884588,0.4813449487,3.1622776602,0.2000000000,0.1431603804
5.0,0.6334170854,0.3580004302,0.3607390886,0.3209997849,0.1598152278,0.4808150128,3.1622776602,0.2000000000,0.1430027682
5.0,0.6379396985,0.3587269949,0.3614449905,0.3206365026,0.1596387524,0.4802752549,3.1622776602,0.2000000000,0.1428422348
5.0,0.6424623116,0.3594668366,0.3621639919,0.3202665817,0.1594590020,0.4797255837,3.1622776602,0.2000000000,0.1426787530
5.0,0.6469849246,0.3602200840,0.3628962199,0.3198899580,0.1592759450,0.4791659030,3.1622776602,0.2000000000,0.1425122942
5.0,0.6515075377,0.3609868714,0.3636418080,0.3195065643,0.1590895480,0.4785961123,3.1622776602,0.2000000000,0.1423428285
5.0,0.6560301508,0.3617673398,0.3644008958,0.3191163301,0.1588997761,0.4780161061,3.1622776602,0.2000000000,0.1421703245
5.0,0.6605527638,0.3625616368,0.3651736291,0.3187191816,0.1587065927,0.4774257743,3.1622776602,0.2000000000,0.1419947496
5.0,0.6650753769,0.3633699164,0.3659601607,0.3183150418,0.1585099598,0.4768250016,3.1622776602,0.2000000000,0.1418160693
5.0,0.6695979899,0.3641923399,0.3667606502,0.3179038300,0.1583098374,0.4762136675,3.1622776602,0.2000000000,0.1416342479
5.0,0.6741206030,0.3650290757,0.3675752643,0.3174854621,0.1581061839,0.4755916461,3.1622776602,0.2000000000,0.1414492478
5.0,0.6786432161,0.3658802996,0.3684041769,0.3170598502,0.1578989558,0.4749588060,3.1622776602,0.2000000000,0.1412610302
5.0,0.6831658291,0.3667461953,0.3692475697,0.3166269024,0.1576881076,0.4743150099,3.1622776602,0.2000000000,0.1410695540
5.0,0.6876884422,0.3676269544,0.3701056325,0.3161865228,0.1574735919,0.4736601147,3.1622776602,0.2000000000,0.1408747767
5.0,0.6922110553,0.3685227768,0.3709785629,0.3157386116,0.1572553593,0.4729939709,3.1622776602,0.2000000000,0.1406766540
5.0,0.6967336683,0.3694338712,0.3718665674,0.3152830644,0.1570333582,0.4723164226,3.1622776602,0.2000000000,0.1404751393
